Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler NaturalGas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electricity Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly) 
 01/01  01:00:00,-8.2625,-0.9963529760163138,-1.1910654144650692,-1.1259015952168439,-1.1963685133713833,-1.1207221767236624,-0.9686738539467279,16.965960108381577,595.1786378188833,0.0,19.718038320604105,2487.8615110686073,0.0,17.59444725283239,1.5849078442829807,1.4258143105808736,17.388611013515117,15.66989540435028,0.0,17.59575896263349,1.6811881222038267,1.6026751628878402,19.19789842938003,0.0,126.3855446094538,0.0,3018.7849758855073,0.0,0.0,2656.578085458625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3018.7849758855073,3773.4812198568834,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,68.55386941751337,0.06601961737478967,7.219999999999999,0.0,16.59239779728768,0.003517824995302893,-1.0891416201440183,17.596820518469677,0.3705044250126874,0.003517824995302893,16.0,82.0,0.0,0.0,0.0,7.219999999999999,0.0,-8.2625,0.00621144618492455,0.001422288734241492,11.5,-8.2625,0.00621144618492455,0.001422288734241492,4.5 
 01/01  02:00:00,-11.8875,-1.2560564639219298,-1.476025385595685,-1.419343757497063,-1.4793847157256916,-1.4140867040932934,-1.3632666007861822,16.50688957550895,625.252310958021,0.0,19.251181854237476,1275.559669191695,24.56209033950803,17.112483146755917,2.7218556083024055,1.7828215701105907,16.84387497121026,21.266587421657235,0.0,17.113543996119827,2.940650175759872,1.9829137260484555,18.983105932854052,0.0,146.52453111697162,0.0,1047.3399176367996,0.0,0.0,1419.9376135527104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1047.3399176367996,1309.1748970459994,0.0,0.0,7.22,7.22,0.0,0.0,66.78045602839441,0.018243901384064648,7.22,0.0,16.121909583247767,0.0034333393789266814,-1.3498591231352306,17.126488303267692,0.3705044250126874,0.0034333393789266814,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.8875,0.00621144618492455,0.0010028609043981412,11.5,-11.8875,0.00621144618492455,0.0010028609043981412,4.5 
 01/01  03:00:00,-11.325,-1.6147763883930337,-1.8155773123134535,-1.7533212397626983,-1.8199291549765406,-1.7464996785608031,-1.7995378761278924,15.863508173067459,699.089854705226,0.0,18.1264062612445,923.6165652311303,0.0,16.801395714326194,0.0,16.625649202323217,16.700008771831968,158.72475112805165,0.0,16.80012278323683,0.0,17.00647419774569,18.816955005903665,0.0,179.4172219862135,0.0,837.4015114941594,0.0,0.0,1049.4845468101948,0.6879681822462279,170.53826267438302,2.004722011415154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,837.4015114941594,1046.7518893676993,0.0,0.0,7.22,7.22,0.0,0.0,56.38412243435021,0.0078250540128732,7.22,0.0,15.538315195298054,0.003341336889803697,-1.6773568608201583,16.543063848871498,0.3705044250126874,0.003341336889803697,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.325,0.00621144618492455,0.0010552609473343869,11.5,-11.325,0.00621144618492455,0.0010552609473343869,4.5 
 01/01  04:00:00,-11.1,-1.9589342414617552,-2.1407935369724664,-2.085276311353442,-2.145567121601908,-2.0795804018106,-2.182832971266265,15.304321632507722,833.0542274562731,0.0,17.62702318560673,744.0542047368037,12.893340111953506,16.699741448790984,53.76686049037545,0.0,16.700210996241015,297.39352225723576,0.0,16.700120337999607,53.969130433046786,0.0,18.644922957626342,0.0,204.31235680265436,0.0,1144.2165339098092,0.0,0.0,856.0901559809427,96.96939313147885,345.9356691161664,101.67029448758755,0.0,0.0,30.079402825438553,0.0,0.0,0.0,0.0,1144.2165339098092,1430.2706673872613,0.0,0.0,7.22,7.22,0.0,0.0,48.68659944573224,0.0082021095146335,7.22,0.0,14.969782852660497,0.0032467970144198655,-2.023788968336132,16.05502114303996,0.3705044250126874,0.0032467970144198655,16.0,82.0,0.0,0.00015383162516004377,0.0,7.22,0.0,-11.1,0.00621144618492455,0.001077079816545153,11.5,-11.1,0.00621144618492455,0.001077079816545153,4.5 
 01/01  05:00:00,-10.7875,-2.3118935503919404,-2.498485641873763,-2.4406794227387127,-2.503666428695837,-2.434221606447485,-2.579050806160005,14.886613722626997,986.0983001239744,0.0,17.873423782955328,1222.3454848406154,0.0,16.699807337562845,104.8018251937333,0.0,16.699582744323024,377.28954652476256,0.0,16.69981438994797,104.45385561990557,0.0,18.49860707510419,0.0,197.08279211118526,0.0,2335.2070389089195,0.0,0.0,1371.2284043667516,151.69735576343578,429.92895609868316,156.20248718429815,0.0,0.0,173.01064704665419,0.0,0.0,0.0,0.0,2335.2070389089195,2919.008798636149,0.0,0.0,7.22,7.22,0.0,0.0,46.15824183804786,0.01562885642620327,7.22,0.0,14.532752411027548,0.0031546387180347224,-2.366130015106766,15.999865309614293,0.3705044250126874,0.0031546387180347224,16.0,82.0,0.0,0.0010029391443035515,0.0,7.22,0.0,-10.7875,0.00621144618492455,0.0011077366177627828,11.5,-10.7875,0.00621144618492455,0.0011077366177627828,4.5 
 01/01  06:00:00,-10.6,-2.671378670613291,-2.84737636624311,-2.7900844383910677,-2.852596431951085,-2.7838684981486628,-2.9506030078878336,14.583727058443337,1082.6461930303092,0.0,17.62722378504415,926.2415494236079,0.0,16.699652248606778,125.72206355957618,0.0,16.700238974881774,417.6537482780267,0.0,16.700405250970004,126.03843158473342,0.0,18.417650929048666,0.0,190.65617711017214,0.0,2199.107153318606,0.0,0.0,1055.5238488754746,172.59265134496553,470.3261829149502,177.81467158299233,0.0,0.0,288.98994385359254,0.0,0.0,0.0,0.0,2199.107153318606,2748.883941648257,0.0,0.0,7.22,7.22,0.0,0.0,47.6957861132952,0.015332138762178755,7.22,0.0,14.222821149986189,0.0030608734656202103,-2.723891982164096,15.999954850372617,0.3705044250126874,0.0030608734656202103,16.0,82.0,0.0,0.0017923510085436714,0.0,7.22,0.0,-10.6,0.00621144618492455,0.0011263833763957194,11.5,-10.6,0.00621144618492455,0.0011263833763957194,4.5 
 01/01  07:00:00,-10.6,-4.306836216849108,-5.482407037566179,-7.013673355790765,-5.391583282912474,-7.276774955310783,-4.621394634500793,14.763957852098688,1869.4351035211598,0.0,18.232284468055028,1736.3376809955603,0.0,20.286871304392324,1716.6280584390802,0.0,19.719620396090782,3312.5852957712327,0.0,20.307781353373677,1724.1352465807054,0.0,20.473441565834857,2878.65644471564,0.0,0.0,22104.98594082534,0.0,0.0,1910.8333637002493,2001.21035893029,3585.744812737227,2040.1005415613613,3224.8478774384903,4722.710913088189,3293.14170262584,0.0,0.0,0.0,0.0,21655.228398151798,27069.035497689743,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,69.95479966901037,0.43780431538457343,7.219999999999999,0.0,6.15661276902982,0.0014222754613756163,-11.516338715051079,15.987159339516534,0.3705044250126874,0.0014222754613756163,16.0,81.75585095423139,0.08130623061146579,0.0684473230315893,0.0,7.219999999999999,0.0,4.500686363739943,0.31057230924622753,0.0011650308833787495,11.5,4.500686363739943,0.31057230924622753,0.0011650308833787495,4.5 
 01/01  08:00:00,-10.225,-7.501081647265321,-8.534140644256428,-10.574178264865981,-8.385163217680924,-10.811040116117947,-6.803165775917388,15.262473271220173,2122.4884178867596,0.0,17.78646252320996,698.3220279348404,17.6330014649499,21.938609891872964,1448.4068420089502,0.0,21.211017595435976,3214.7648746922077,0.0,21.88047500921192,1608.5776973822308,0.0,21.581418347552983,2805.2875045034034,0.0,0.0,19281.862839513364,0.0,0.0,821.3082655768598,1844.2984147562793,3601.9403165084213,2041.286664498521,3239.6396667993686,4605.807273009147,3269.5508497565124,0.0,0.0,0.0,0.0,19281.862839513364,24102.328549391706,0.0,0.0,7.22,7.22,0.0,0.0,70.68846557750538,0.4066920336557345,7.22,0.0,6.232704900459482,0.0013725583903107072,-11.91054184689445,16.00094815802302,0.3705044250126874,0.0013725583903107072,16.0,82.0,0.07638120190406526,0.06603277129144146,0.0,7.22,0.0,4.500164272422404,0.31057230924622753,0.001228779734699374,11.5,4.500164272422404,0.31057230924622753,0.001228779734699374,4.5 
 01/01  09:00:00,-9.3125,-8.066579148867307,-7.688298753014829,-7.917198202295841,-6.314112479827575,-8.11771468709734,-4.781645441557479,16.305636714291175,3264.8129283969374,0.0,18.821171187759553,219.53377624200908,179.1345014688579,22.200069356965184,86.84638230066639,133.05021598978539,22.19585002597431,1835.6033512460285,0.0,22.200285518892443,755.4079335218461,0.0,22.19982282885168,422.7828483590275,0.0,0.0,12283.982975624966,0.0,0.0,263.7915341686322,367.953912216365,2297.6481621298863,1211.6955117523712,909.5200993656005,4320.608877688528,3212.765650580731,0.0,0.0,0.0,0.0,12283.982975624966,15354.978719531206,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,65.80871157747796,0.18373585823221084,7.219999999999999,0.0,6.383801412886457,0.001365811654505395,-11.965333986813816,16.000025798792322,0.3705044250126874,0.001365811654505395,16.0,82.0,0.06614912791730596,0.06283880898554417,0.0,7.219999999999999,0.0,4.499884156765207,0.31057230924622753,0.001266980042480877,11.5,4.499884156765207,0.31057230924622753,0.001266980042480877,4.5 
 01/01  10:00:00,-7.525,-4.895842402897381,-4.97262122159559,-5.1462226724164495,-2.9097632688864308,-5.65585668775765,-1.036954901713191,17.296470654801638,3147.944791232404,0.0,20.161269233687644,0.0,330.2162396668637,23.173395957578066,0.0,480.0117282043604,22.202248097202308,730.6144158292342,0.0,22.201681628012892,312.95067761569123,0.0,22.52505295497683,0.0,514.9951054875859,0.0,8791.28570730564,0.0,0.0,0.0,0.0,1193.6949048163717,769.5443765378992,0.0,3761.636829700297,3151.5875120075234,0.0,0.0,0.0,0.0,8791.28570730564,10989.107134132051,0.0,0.0,7.22,7.22,0.0,0.0,64.95811161798406,0.12329921072431219,7.22,0.0,6.549689288598959,0.0014822411592522707,-11.059588405507611,15.999974101762541,0.3705044250126874,0.0014822411592522707,16.0,82.0,0.04969042492021708,0.05960365522603865,0.0,7.22,0.0,4.49978499713045,0.31057230924622753,0.00129622204152932,11.5,4.49978499713045,0.31057230924622753,0.00129622204152932,4.5 
