Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),PLENUM-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE1-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE2-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE3-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE4-1:Zone Mean Air Dewpoint Temperature [C](Hourly),SPACE5-1:Zone Mean Air Dewpoint Temperature [C](Hourly),PLENUM-1:Zone Air Temperature [C](Hourly),PLENUM-1:Zone Air System Sensible Heating Rate [W](Hourly),PLENUM-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE1-1:Zone Air Temperature [C](Hourly),SPACE1-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE1-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE2-1:Zone Air Temperature [C](Hourly),SPACE2-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE2-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE3-1:Zone Air Temperature [C](Hourly),SPACE3-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE3-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE4-1:Zone Air Temperature [C](Hourly),SPACE4-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE4-1:Zone Air System Sensible Cooling Rate [W](Hourly),SPACE5-1:Zone Air Temperature [C](Hourly),SPACE5-1:Zone Air System Sensible Heating Rate [W](Hourly),SPACE5-1:Zone Air System Sensible Cooling Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),HOT WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Cooling Demand Rate [W](Hourly),CHILLED WATER LOOP:Plant Supply Side Heating Demand Rate [W](Hourly),SPACE1-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE2-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE3-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE4-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),SPACE5-1 ZONE COIL:Heating Coil Heating Rate [W](Hourly),OA HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),MAIN HEATING COIL 1:Heating Coil Heating Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),OA COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Total Cooling Rate [W](Hourly),MAIN COOLING COIL 1:Cooling Coil Sensible Cooling Rate [W](Hourly),CENTRAL BOILER:Boiler Heating Rate [W](Hourly),CENTRAL BOILER:Boiler NaturalGas Rate [W](Hourly),CENTRAL CHILLER:Chiller Electricity Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Cooling Rate [W](Hourly),CENTRAL CHILLER:Chiller Evaporator Inlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Outlet Temperature [C](Hourly),CENTRAL CHILLER:Chiller Evaporator Mass Flow Rate [kg/s](Hourly),CENTRAL CHILLER:Chiller Condenser Heat Transfer Rate [W](Hourly),HW CIRC PUMP:Pump Outlet Temperature [C](Hourly),HW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),CW CIRC PUMP:Pump Outlet Temperature [C](Hourly),CW CIRC PUMP:Pump Mass Flow Rate [kg/s](Hourly),MIXED AIR NODE 1:System Node Temperature [C](Hourly),MIXED AIR NODE 1:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),MIXED AIR NODE 1:System Node Dewpoint Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Temperature [C](Hourly),VAV SYS 1 OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),VAV SYS 1 OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),VAV SYS 1 OUTLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN HEATING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),MAIN COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Temperature [C](Hourly),OA COOLING COIL 1 WATER INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Temperature [C](Hourly),OA MIXING BOX 1 INLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA MIXING BOX 1 INLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA MIXING BOX 1 INLET NODE:System Node Setpoint Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Temperature [C](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Mass Flow Rate [kg/s](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Humidity Ratio [kgWater/kgDryAir](Hourly),OA HEATING COIL 1 AIR OUTLET NODE:System Node Setpoint Temperature [C](Hourly) 
 01/01  01:00:00,-8.2625,-1.0038299250087226,-1.2203320392032428,-1.1485294047331205,-1.2270074245335352,-1.1417320393462487,-1.0324603256869076,16.906380954189377,478.48142315591804,0.0,17.371703168735973,19.50193423094015,0.0,17.598925900589485,1.2129323710153699,0.0,17.391244454525648,16.9918394813875,0.0,17.600537000302896,1.2192604078681484,0.0,19.195103294361118,0.0,124.57083648240791,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.22,7.22,0.0,0.0,60.81645399793832,0.0,7.22,0.0,16.61260521110337,0.0035238538854255146,-1.0685826897287567,17.61701680174673,0.3705044250126874,0.0035238538854255146,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-8.2625,0.00621144618492455,0.001422288734241492,11.5,-8.2625,0.00621144618492455,0.001422288734241492,4.5 
 01/01  02:00:00,-11.8875,-1.3243849798997083,-1.5683205317481355,-1.4828509424609573,-1.577197180055721,-1.4728815472205212,-1.5458785251735319,16.320761695883707,501.40372185635056,0.0,16.816050262846844,29.207393037065344,0.0,17.074940991197646,0.07787130854865154,4.488997411800199,16.841379991176638,12.623070854936998,0.0,17.074951455519738,0.06959627653435518,4.938002566021794,18.928616310797157,0.0,151.47650950419364,0.0,5.279948103183452,0.0,0.0,13.861030383610585,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.279948103183452,6.599935128979315,0.0,0.0,7.22,7.22,0.0,0.0,60.790843603382704,0.000059264678366892757,7.22,0.0,16.004544197012308,0.0034285416679413114,-1.3667305232260696,17.009131778313197,0.3705044250126874,0.0034285416679413114,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.8875,0.00621144618492455,0.0010028609043981412,11.5,-11.8875,0.00621144618492455,0.0010028609043981412,4.5 
 01/01  03:00:00,-11.325,-1.7290114643999344,-1.932252164351608,-1.849179104446876,-1.9418204918978565,-1.840457246148665,-2.002897372547907,15.674136314894543,638.4563412500404,0.0,16.69992251370999,200.82125952614473,0.0,16.75261516178736,6.564523718330918,12.242371461369714,16.700137769002144,170.0828343486902,0.0,16.75136453558197,6.27626941103631,12.497941482995998,18.730999076258538,0.0,185.14002081369375,0.0,221.44921400671103,0.0,0.0,225.9069995303736,19.002359968560384,193.84785769482562,20.920068570726627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,221.44921400671103,276.81151750838876,0.0,0.0,7.22,7.22,0.0,0.0,58.15824380804895,0.002170858053554008,7.22,0.0,15.3795549786317,0.0033155605663637787,-1.7697667103627694,16.3843512529729,0.3705044250126874,0.0033155605663637787,16.0,82.0,0.0,0.0,0.0,7.22,0.0,-11.325,0.00621144618492455,0.0010552609473343869,11.5,-11.325,0.00621144618492455,0.0010552609473343869,4.5 
 01/01  04:00:00,-11.1,-2.0917707510030206,-2.2747939938268438,-2.2088296842410533,-2.283170882880283,-2.2023490398111476,-2.3807803072371096,15.134934632836467,811.5261320659513,0.0,16.699780059184924,341.84052446082995,0.0,16.699777912833106,77.2122666132833,0.0,16.700055757583264,312.43374189087757,0.0,16.700073180437922,77.59713327158005,0.0,18.56329778225828,0.0,202.1540240072248,0.0,727.8558210782801,0.0,0.0,397.408909826062,124.06621512225905,365.06243204297584,129.32133604060863,0.0,0.0,67.54794069859322,0.0,0.0,0.0,0.0,727.8558210782801,909.8197763478502,0.0,0.0,7.22,7.22,0.0,0.0,50.6430317828905,0.005476440365816694,7.22,0.0,14.815173734238924,0.0032155453685654193,-2.138868576069,16.000523568430907,0.3705044250126874,0.0032155453685654193,16.0,82.0,0.0,0.00036622856828165347,0.0,7.22,0.0,-11.1,0.00621144618492455,0.001077079816545153,11.5,-11.1,0.00621144618492455,0.001077079816545153,4.5 
 01/01  05:00:00,-10.7875,-2.460870412725953,-2.6506896926807544,-2.5822160847184334,-2.658901571761392,-2.574552568857574,-2.7802172223623223,14.719702385484757,955.2809949040193,0.0,16.699893846677412,424.65684841169127,0.0,16.69996220117454,124.2863611699945,0.0,16.70042480287548,395.8039515821736,0.0,16.700114060149076,124.18083249694246,0.0,18.432051169303183,0.0,191.81925145048615,0.0,1381.2495745402402,0.0,0.0,480.2845660251209,171.19158401065323,448.50830138177554,175.95077328915988,0.0,0.0,228.15232762138226,0.0,0.0,0.0,0.0,1381.2495745402402,1726.5619681753,0.0,0.0,7.22,7.22,0.0,0.0,44.326071046724586,0.008749433866295783,7.22,0.0,14.385359975619977,0.0031204161954271423,-2.4955926459710502,15.999827165612746,0.3705044250126874,0.0031204161954271423,16.0,82.0,0.0,0.001369631399070288,0.0,7.22,0.0,-10.7875,0.00621144618492455,0.0011077366177627828,11.5,-10.7875,0.00621144618492455,0.0011077366177627828,4.5 
 01/01  06:00:00,-10.6,-2.8345824605476215,-3.0153203838455185,-2.9469364119039296,-3.0235062460157427,-2.9394807155507885,-3.1583976936395266,14.410602585868375,1063.9600579318203,0.0,16.699965742306702,463.91960485734006,0.0,16.700485986442562,145.3593537200066,0.0,16.6999607261586,434.33097002154057,0.0,16.70034103671382,145.29090405093098,0.0,18.352469652068912,0.0,185.50158291932757,0.0,1913.6233610812574,0.0,0.0,519.5348665766874,192.28411026321848,486.9833912176797,197.06044007046876,0.0,0.0,349.88473861214857,0.0,0.0,0.0,0.0,1913.6233610812574,2392.0292013515714,0.0,0.0,7.22,7.22,0.0,0.0,45.78457292552147,0.012675607776378169,7.22,0.0,14.060016680763237,0.0030237196646898216,-2.868462841666911,15.999926695860587,0.3705044250126874,0.0030237196646898216,16.0,82.0,0.0,0.002236361856038151,0.0,7.22,0.0,-10.6,0.00621144618492455,0.0011263833763957194,11.5,-10.6,0.00621144618492455,0.0011263833763957194,4.5 
 01/01  07:00:00,-10.6,-4.466073890772983,-5.633742453526171,-7.127478659779645,-5.537915729394048,-7.38623762233632,-4.808350782721809,14.68811650613354,1989.68449172601,0.0,19.765999668496445,3436.3830227186495,0.0,20.252106418892716,1713.8311478273938,0.0,19.698338749663137,3306.0303829855816,0.0,20.272838511739167,1721.3751264274397,0.0,20.411389492746146,2875.860127279532,0.0,0.0,24345.856767862762,0.0,0.0,3730.5143260551013,1997.433929180927,3579.2075773714605,2036.236625755747,3218.8800141134243,4722.662442685892,3291.3541315774505,0.0,0.0,0.0,0.0,23518.317626395426,29397.897032994282,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,70.86168226514309,0.5199599421981674,7.219999999999999,0.0,6.142129836490112,0.0014161587579995876,-11.564162565017387,15.9679991374834,0.3705044250126874,0.0014161587579995876,16.0,81.63409450948876,0.08172242587758458,0.06873421241656662,0.0,7.219999999999999,0.0,4.500531379375403,0.31057230924622753,0.0011650308833787495,11.5,4.500531379375403,0.31057230924622753,0.0011650308833787495,4.5 
 01/01  08:00:00,-10.225,-8.078686623143707,-9.134696464063094,-10.980318368697873,-8.96604536188353,-11.177170350443006,-7.365489110396815,15.349635565653234,2347.8372303201877,0.0,21.302261745595118,3337.0482661949354,0.0,21.93964337922452,1440.2800516206064,0.0,21.214931146392388,3213.727068166614,0.0,21.889832460599088,1601.2292522251269,0.0,21.6052049113907,2802.7444155774638,0.0,0.0,22160.822894515935,0.0,0.0,3754.2566851134384,1836.5031660290467,3601.950484724167,2034.8844892133566,3239.656059343911,4605.807274654381,3265.748420013392,0.0,0.0,0.0,0.0,22160.822894515935,27701.02861814492,0.0,0.0,7.22,7.22,0.0,0.0,71.46484334303125,0.5018620802046433,7.22,0.0,6.241578005365291,0.0013595539911121987,-12.016372800402749,15.999867478754371,0.3705044250126874,0.0013595539911121987,16.0,82.0,0.0763812019702841,0.06581110103775414,0.0,7.22,0.0,4.500164277682594,0.31057230924622753,0.001228779734699374,11.5,4.500164277682594,0.31057230924622753,0.001228779734699374,4.5 
 01/01  09:00:00,-9.3125,-8.573310724048797,-6.790937336116155,-8.048228218899194,-6.6594673025621445,-8.227089166223939,-5.180112456177784,16.523647193215794,3459.179334245982,0.0,22.200498978776572,1748.6705508715763,0.0,22.200637852415273,74.6823731833675,139.87089814126813,22.19615777338192,1815.0162092449302,0.0,22.202252641944533,725.1518064012588,0.0,22.200069070918683,307.4747523632178,26.360531015526078,0.0,13952.648718672372,0.0,0.0,2237.714124157416,349.01469364652263,2277.395004838085,1181.6418165966113,768.193174066714,4320.608877688528,3201.7122267877994,0.0,0.0,0.0,0.0,13952.648718672372,17440.810898340467,0.0,0.0,7.219999999999999,7.219999999999999,0.0,0.0,65.2597560084169,0.20366089452120578,7.219999999999999,0.0,6.413053421138399,0.0013480917421660043,-12.110002572375157,15.999976660672623,0.3705044250126874,0.0013480917421660043,16.0,82.0,0.06614912791730593,0.0622400613562479,0.0,7.219999999999999,0.0,4.499884156765203,0.31057230924622753,0.001266980042480877,11.5,4.499884156765203,0.31057230924622753,0.001266980042480877,4.5 
 01/01  10:00:00,-7.525,-4.7035060585427315,-3.18352491453478,-5.140933156003109,-2.991904299461157,-5.66282355065882,-1.153652603488852,17.5591006916041,3240.2465977095935,0.0,22.201756594870282,309.9723343321908,1.2012985398243927,23.248026200074264,0.0,484.9724853651372,22.201744393906182,708.19840871627,0.0,22.20175460811209,278.01505970355277,0.0,22.633933613951285,0.0,523.5022885749772,0.0,9527.926039366681,0.0,0.0,799.2036111872242,0.0,1171.3338106994481,734.6557217178894,0.0,3761.636829700297,3137.259228783105,0.0,0.0,0.0,0.0,9527.926039366681,11909.907549208348,0.0,0.0,7.22,7.22,0.0,0.0,64.0376245730019,0.12675406489474866,7.22,0.0,6.588457543821571,0.0014861506071824498,-11.03116187116914,16.000293823414047,0.3705044250126874,0.0014861506071824498,16.0,82.0,0.049690424920217066,0.05887543741690057,0.0,7.22,0.0,4.499784997130448,0.31057230924622753,0.00129622204152932,11.5,4.499784997130448,0.31057230924622753,0.00129622204152932,4.5 
